Problem:    type2
   195 cpucon[101,93]
                                   0      -97.7583               
   196 cpucon[101,94]
                                   0      -66.5628               
   197 cpucon[101,95]
                                   0      -47.7709               
   198 cpucon[101,96]
                                   0      -14.5583               
   199 cpucon[101,97]
                                   0      -62.8444               
   200 cpucon[101,98]
                                   0      -45.8286               
   201 cpucon[101,99]
                                   0      -69.3835               
   202 cpucon[102,0]
                                   0      -57.7098               
   203 cpucon[102,1]
                                   0      -74.7266               
   204 cpucon[102,2]
                                   0      -48.2072               
   205 cpucon[102,3]
                                   0      -60.4315               
   206 cpucon[102,4]
                                   0      -45.1629               
   207 cpucon[102,5]
                                   0      -69.0703               
   208 cpucon[102,6]
                                   0      -59.6406               
   209 cpucon[102,7]
                                   0      -63.9503               
   210 cpucon[102,8]
                                   0       -49.407               
   211 cpucon[102,9]
                                   0      -62.8086               
   212 cpucon[102,10]
                                   0      -71.1031               
   213 cpucon[102,11]
                                   0      -54.5852               
   214 cpucon[102,12]
                                   0       -83.326               
   215 cpucon[102,13]
                                   0      -60.4961               
   216 cpucon[102,14]
                                   0      -82.5013               
   217 cpucon[102,15]
                                   0      -72.7417               
   218 cpucon[102,16]
                                   0      -59.2732               
   219 cpucon[102,17]
                                   0      -76.8761               
   220 cpucon[102,18]
                                   0      -42.6468               
   221 cpucon[102,19]
                                   0      -91.3367               
   222 cpucon[102,20]
                                   0      -47.3174               
   223 cpucon[102,21]
                                   0      -55.3148               
   224 cpucon[102,22]
                                   0      -75.0034               
   225 cpucon[102,23]
                                   0      -72.6998               
   226 cpucon[102,24]
                            -48.0206      -79.6904               
   227 cpucon[102,25]
                                   0      -67.4598               
   228 cpucon[102,26]
                                   0      -83.3054               
   229 cpucon[102,27]
                                   0      -72.2577               
   230 cpucon[102,28]
                                   0      -50.9229               
   231 cpucon[102,29]
                                   0       -39.882               
   232 cpucon[102,30]
                                   0      -47.4246               
   233 cpucon[102,31]
                                   0       -49.436               
   234 cpucon[102,32]
                                   0      -59.6872               
   235 cpucon[102,33]
                                   0      -59.8374               
   236 cpucon[102,34]
                                   0      -65.2451               
   237 cpucon[102,35]
                                   0      -69.8131               
   238 cpucon[102,36]
                                   0      -60.9382               
   239 cpucon[102,37]
                                   0      -67.1711               
   240 cpucon[102,38]
                                   0      -75.9535               
   241 cpucon[102,39]
                                   0      -62.5246               
   242 cpucon[102,40]
                                   0      -51.8942               
   243 cpucon[102,41]
                                   0      -59.5203               
   244 cpucon[102,42]
                                   0      -84.4612               
   245 cpucon[102,43]
                                   0       -47.317               
   246 cpucon[102,44]
                                   0      -59.6248               
   247 cpucon[102,45]
                                   0      -65.8893               
   248 cpucon[102,46]
                                   0      -93.6052               
   249 cpucon[102,47]
                                   0      -57.8095               
   250 cpucon[102,48]
                                   0      -81.7958               
   251 cpucon[102,49]
                                   0      -63.9172               
   252 cpucon[102,50]
                                   0      -64.1596               
   253 cpucon[102,51]
                                   0      -43.9032               
   254 cpucon[102,52]
                                   0      -55.2983               
   255 cpucon[102,53]
                                   0      -47.2348               
   256 cpucon[102,54]
                                   0      -59.4112               
   257 cpucon[102,55]
                                   0      -75.7303               
   258 cpucon[102,56]
                                   0      -64.0553               
   259 cpucon[102,57]
                                   0      -63.3348               
   260 cpucon[102,58]
                                   0      -84.7712               
   261 cpucon[102,59]
                                   0      -80.0572               
   262 cpucon[102,60]
                                   0      -71.4686               
   263 cpucon[102,61]
                                   0      -84.2029               
   264 cpucon[102,62]
                                   0      -67.1109               
   265 cpucon[102,63]
                                   0      -92.6945               
   266 cpucon[102,64]
                                   0      -76.1822               
   267 cpucon[102,65]
                                   0      -81.4814               
   268 cpucon[102,66]
                                   0       -87.634               
   269 cpucon[102,67]
                                   0      -56.2805               
   270 cpucon[102,68]
                                   0      -86.5917               
   271 cpucon[102,69]
                                   0      -70.8577               
   272 cpucon[102,70]
                                   0      -55.4337               
   273 cpucon[102,71]
                                   0      -54.6874               
   274 cpucon[102,72]
                                   0      -90.1348               
   275 cpucon[102,73]
                                   0      -52.1407               
   276 cpucon[102,74]
                                   0      -80.7639               
   277 cpucon[102,75]
                                   0      -77.3704               
   278 cpucon[102,76]
                                   0      -89.4929               
   279 cpucon[102,77]
                                   0      -90.5301               
   280 cpucon[102,78]
                                   0      -71.8623               
   281 cpucon[102,79]
                                   0       -69.089               
   282 cpucon[102,80]
                                   0      -50.9007               
   283 cpucon[102,81]
                                   0       -73.406               
   284 cpucon[102,82]
                                   0      -73.1088               
   285 cpucon[102,83]
                                   0      -74.3414               
   286 cpucon[102,84]
                                   0      -58.7571               
   287 cpucon[102,85]
                                   0      -90.2464               
   288 cpucon[102,86]
                                   0      -64.4372               
   289 cpucon[102,87]
                                   0      -48.2428               
   290 cpucon[102,88]
                                   0      -60.7371               
   291 cpucon[102,89]
                                   0      -86.3651               
   292 cpucon[102,90]
                                   0      -62.8401               
   293 cpucon[102,91]
                                   0      -86.8304               
   294 cpucon[102,92]
                                   0      -74.8315               
   295 cpucon[102,93]
                                   0      -97.7583               
   296 cpucon[102,94]
                                   0      -66.5628               
   297 cpucon[102,95]
                                   0      -47.7709               
   298 cpucon[102,96]
                                   0      -14.5583               
   299 cpucon[102,97]
                                   0      -62.8444               
   300 cpucon[102,98]
                                   0      -45.8286               
   301 cpucon[102,99]
                                   0      -69.3835               
   302 cpucon[103,0]
                                   0      -57.7098               
   303 cpucon[103,1]
                                   0      -74.7266               
   304 cpucon[103,2]
                                   0      -48.2072               
   305 cpucon[103,3]
                                   0      -60.4315               
   306 cpucon[103,4]
                                   0      -45.1629               
   307 cpucon[103,5]
                                   0      -69.0703               
   308 cpucon[103,6]
                                   0      -59.6406               
   309 cpucon[103,7]
                                   0      -63.9503               
   310 cpucon[103,8]
                                   0       -49.407               
   311 cpucon[103,9]
                                   0      -62.8086               
   312 cpucon[103,10]
                                   0      -71.1031               
   313 cpucon[103,11]
                                   0      -54.5852               
   314 cpucon[103,12]
                                   0       -83.326               
   315 cpucon[103,13]
                                   0      -60.4961               
   316 cpucon[103,14]
                                   0      -82.5013               
   317 cpucon[103,15]
                                   0      -72.7417               
   318 cpucon[103,16]
                                   0      -59.2732               
   319 cpucon[103,17]
                                   0      -76.8761               
   320 cpucon[103,18]
                                   0      -42.6468               
   321 cpucon[103,19]
                                   0      -91.3367               
   322 cpucon[103,20]
                                   0      -47.3174               
   323 cpucon[103,21]
                                   0      -55.3148               
   324 cpucon[103,22]
                                   0      -75.0034               
   325 cpucon[103,23]
                                   0      -72.6998               
   326 cpucon[103,24]
                                   0      -79.6904               
   327 cpucon[103,25]
                                   0      -67.4598               
   328 cpucon[103,26]
                                   0      -83.3054               
   329 cpucon[103,27]
                                   0      -72.2577               
   330 cpucon[103,28]
                                   0      -50.9229               
   331 cpucon[103,29]
                                   0       -39.882               
   332 cpucon[103,30]
                                   0      -47.4246               
   333 cpucon[103,31]
                                   0       -49.436               
   334 cpucon[103,32]
                                   0      -59.6872               
   335 cpucon[103,33]
                                   0      -59.8374               
   336 cpucon[103,34]
                                   0      -65.2451               
   337 cpucon[103,35]
                                   0      -69.8131               
   338 cpucon[103,36]
                                   0      -60.9382               
   339 cpucon[103,37]
                                   0      -67.1711               
   340 cpucon[103,38]
                                   0      -75.9535               
   341 cpucon[103,39]
                                   0      -62.5246               
   342 cpucon[103,40]
                                   0      -51.8942               
   343 cpucon[103,41]
                                   0      -59.5203               
   344 cpucon[103,42]
                                   0      -84.4612               
   345 cpucon[103,43]
                                   0       -47.317               
   346 cpucon[103,44]
                                   0      -59.6248               
   347 cpucon[103,45]
                                   0      -65.8893               
   348 cpucon[103,46]
                                   0      -93.6052               
   349 cpucon[103,47]
                                   0      -57.8095               
   350 cpucon[103,48]
                                   0      -81.7958               
   351 cpucon[103,49]
                                   0      -63.9172               
   352 cpucon[103,50]
                                   0      -64.1596               
   353 cpucon[103,51]
                                   0      -43.9032               
   354 cpucon[103,52]
                                   0      -55.2983               
   355 cpucon[103,53]
                                   0      -47.2348               
   356 cpucon[103,54]
                                   0      -59.4112               
   357 cpucon[103,55]
                                   0      -75.7303               
   358 cpucon[103,56]
                                   0      -64.0553               
   359 cpucon[103,57]
                                   0      -63.3348               
   360 cpucon[103,58]
                                   0      -84.7712               
   361 cpucon[103,59]
                                   0      -80.0572               
   362 cpucon[103,60]
                                   0      -71.4686               
   363 cpucon[103,61]
                                   0      -84.2029               
   364 cpucon[103,62]
                                   0      -67.1109               
   365 cpucon[103,63]
                                   0      -92.6945               
   366 cpucon[103,64]
                                   0      -76.1822               
   367 cpucon[103,65]
                                   0      -81.4814               
   368 cpucon[103,66]
                                   0       -87.634               
   369 cpucon[103,67]
                                   0      -56.2805               
   370 cpucon[103,68]
                                   0      -86.5917               
   371 cpucon[103,69]
                                   0      -70.8577               
   372 cpucon[103,70]
                             -0.1979      -55.4337               
   373 cpucon[103,71]
                                   0      -54.6874               
   374 cpucon[103,72]
                                   0      -90.1348               
   375 cpucon[103,73]
                                   0      -52.1407               
   376 cpucon[103,74]
                                   0      -80.7639               
   377 cpucon[103,75]
                                   0      -77.3704               
   378 cpucon[103,76]
                                   0      -89.4929               
   379 cpucon[103,77]
                                   0      -90.5301               
   380 cpucon[103,78]
                                   0      -71.8623               
   381 cpucon[103,79]
                                   0       -69.089               
   382 cpucon[103,80]
                                   0      -50.9007               
   383 cpucon[103,81]
                                   0       -73.406               
   384 cpucon[103,82]
                                   0      -73.1088               
   385 cpucon[103,83]
                                   0      -74.3414               
   386 cpucon[103,84]
                                   0      -58.7571               
   387 cpucon[103,85]
                                   0      -90.2464               
   388 cpucon[103,86]
                                   0      -64.4372               
   389 cpucon[103,87]
                                   0      -48.2428               
   390 cpucon[103,88]
                                   0      -60.7371               
   391 cpucon[103,89]
                                   0      -86.3651               
   392 cpucon[103,90]
                                   0      -62.8401               
   393 cpucon[103,91]
                                   0      -86.8304               
   394 cpucon[103,92]
                                   0      -74.8315               
   395 cpucon[103,93]
                                   0      -97.7583               
   396 cpucon[103,94]
                                   0      -66.5628               
   397 cpucon[103,95]
                                   0      -47.7709               
   398 cpucon[103,96]
                                   0      -14.5583               
   399 cpucon[103,97]
                                   0      -62.8444               
   400 cpucon[103,98]
                                   0      -45.8286               
   401 cpucon[103,99]
                                   0      -69.3835               
   402 bwcon[0,0]                  0                          -0 
   403 bwcon[0,1]                  0                          -0 
   404 bwcon[0,2]                  0                          -0 
   405 bwcon[0,3]                  0                          -0 
   406 bwcon[0,4]                  0                          -0 
   407 bwcon[0,5]                  0                          -0 
   408 bwcon[0,6]                  0                          -0 
   409 bwcon[0,7]                  0                          -0 
   410 bwcon[0,8]                  0                          -0 
   411 bwcon[0,9]                  0                          -0 
   412 bwcon[0,10]                 0                          -0 
   413 bwcon[0,11]                 0                          -0 
   414 bwcon[0,12]                 0                          -0 
   415 bwcon[0,13]                 0                          -0 
   416 bwcon[0,14]                 0                          -0 
   417 bwcon[0,15]                 0                          -0 
   418 bwcon[0,16]                 0                          -0 
   419 bwcon[0,17]                 0                          -0 
   420 bwcon[0,18]                 0                          -0 
   421 bwcon[0,19]                 0                          -0 
   422 bwcon[0,20]                 0                          -0 
   423 bwcon[0,21]                 0                          -0 
   424 bwcon[0,22]                 0                     86.2187 
   425 bwcon[0,23]                 0                          -0 
   426 bwcon[0,24]                 0                          -0 
   427 bwcon[0,25]                 0                          -0 
   428 bwcon[0,26]                 0                          -0 
   429 bwcon[0,27]                 0                          -0 
   430 bwcon[0,28]                 0                          -0 
   431 bwcon[0,29]                 0                          -0 
   432 bwcon[0,30]                 0                          -0 
   433 bwcon[0,31]                 0                          -0 
   434 bwcon[0,32]                 0                          -0 
   435 bwcon[0,33]                 0                          -0 
   436 bwcon[0,34]                 0                          -0 
   437 bwcon[0,35]                 0                          -0 
   438 bwcon[0,36]                 0                          -0 
   439 bwcon[0,37]                 0                     56.9899 
   440 bwcon[0,38]                 0                          -0 
   441 bwcon[0,39]                 0                          -0 
   442 bwcon[0,40]                 0                          -0 
   443 bwcon[0,41]                 0                          -0 
   444 bwcon[0,42]                 0                          -0 
   445 bwcon[0,43]                 0                          -0 
   446 bwcon[0,44]                 0                          -0 
   447 bwcon[0,45]                 0                          -0 
   448 bwcon[0,46]                 0                          -0 
   449 bwcon[0,47]                 0                          -0 
   450 bwcon[0,48]                 0                          -0 
   451 bwcon[0,49]                 0                     55.6923 
   452 bwcon[0,50]                 0                          -0 
   453 bwcon[0,51]                 0                          -0 
   454 bwcon[0,52]                 0                          -0 
   455 bwcon[0,53]                 0                          -0 
   456 bwcon[0,54]                 0                          -0 
   457 bwcon[0,55]                 0                          -0 
   458 bwcon[0,56]                 0                          -0 
   459 bwcon[0,57]                 0                          -0 
   460 bwcon[0,58]                 0                          -0 
   461 bwcon[0,59]                 0                     83.1441 
   462 bwcon[0,60]                 0                          -0 
   463 bwcon[0,61]                 0                     51.1374 
   464 bwcon[0,62]                 0                          -0 
   465 bwcon[0,63]                 0                          -0 
   466 bwcon[0,64]                 0                          -0 
   467 bwcon[0,65]                 0                          -0 
   468 bwcon[0,66]                 0                          -0 
   469 bwcon[0,67]                 0                          -0 
   470 bwcon[0,68]                 0                          -0 
   471 bwcon[0,69]                 0                     65.3783 
   472 bwcon[0,70]                 0                     71.5212 
   473 bwcon[0,71]                 0                     83.7957 
   474 bwcon[0,72]                 0                          -0 
   475 bwcon[0,73]                 0                          -0 
   476 bwcon[0,74]                 0                          -0 
   477 bwcon[0,75]                 0                          -0 
   478 bwcon[0,76]                 0                          -0 
   479 bwcon[0,77]                 0                          -0 
   480 bwcon[0,78]                 0                          -0 
   481 bwcon[0,79]                 0                          -0 
   482 bwcon[0,80]                 0                          -0 
   483 bwcon[0,81]                 0                          -0 
   484 bwcon[0,82]                 0                      49.102 
   485 bwcon[0,83]                 0                          -0 
   486 bwcon[0,84]                 0                          -0 
   487 bwcon[0,85]                 0                          -0 
   488 bwcon[0,86]                 0                          -0 
   489 bwcon[0,87]                 0                          -0 
   490 bwcon[0,88]                 0                          -0 
   491 bwcon[0,89]                 0                          -0 
   492 bwcon[0,90]                 0                     76.4391 
   493 bwcon[0,91]                 0                          -0 
   494 bwcon[0,92]                 0                          -0 
   495 bwcon[0,93]                 0                          -0 
   496 bwcon[0,94]                 0                          -0 
   497 bwcon[0,95]                 0                          -0 
   498 bwcon[0,96]                 0                     95.7427 
   499 bwcon[0,97]                 0                          -0 
   500 bwcon[0,98]                 0                          -0 
   501 bwcon[0,99]                 0                          -0 
   502 bwcon[1,0]                  0                          -0 
   503 bwcon[1,1]                  0                          -0 
   504 bwcon[1,2]                  0                          -0 
   505 bwcon[1,3]                  0                          -0 
   506 bwcon[1,4]                  0                          -0 
   507 bwcon[1,5]                  0                          -0 
   508 bwcon[1,6]                  0                          -0 
   509 bwcon[1,7]                  0                          -0 
   510 bwcon[1,8]                  0                          -0 
   511 bwcon[1,9]                  0                          -0 
   512 bwcon[1,10]                 0                          -0 
   513 bwcon[1,11]                 0                     91.9478 
   514 bwcon[1,12]                 0                          -0 
   515 bwcon[1,13]                 0                          -0 
   516 bwcon[1,14]                 0                          -0 
   517 bwcon[1,15]                 0                          -0 
   518 bwcon[1,16]                 0                          -0 
   519 bwcon[1,17]                 0                          -0 
   520 bwcon[1,18]                 0                          -0 
   521 bwcon[1,19]                 0                          -0 
   522 bwcon[1,20]                 0                          -0 
   523 bwcon[1,21]                 0                     70.7885 
   524 bwcon[1,22]                 0                          -0 
   525 bwcon[1,23]                 0                          -0 
   526 bwcon[1,24]                 0                          -0 
   527 bwcon[1,25]                 0                          -0 
   528 bwcon[1,26]                 0                          -0 
   529 bwcon[1,27]                 0                          -0 
   530 bwcon[1,28]                 0                          -0 
   531 bwcon[1,29]                 0                          -0 
   532 bwcon[1,30]                 0                          -0 
   533 bwcon[1,31]                 0                          -0 
   534 bwcon[1,32]                 0                          -0 
   535 bwcon[1,33]                 0                          -0 
   536 bwcon[1,34]                 0                          -0 
   537 bwcon[1,35]                 0                          -0 
   538 bwcon[1,36]                 0                          -0 
   539 bwcon[1,37]                 0                          -0 
   540 bwcon[1,38]                 0                          -0 
   541 bwcon[1,39]                 0                          -0 
   542 bwcon[1,40]                 0                          -0 
   543 bwcon[1,41]                 0                          -0 
   544 bwcon[1,42]                 0                     65.5904 
   545 bwcon[1,43]                 0                          -0 
